Theme,country,region,R&D cycle,topic
Civic engagement,Iraq,RBAS,Social media data to investigate the social contract,Big data
Civic engagement,Fiji,RBAP,Storytelling to design auxiliary services to renewables-based electrification,Collective intelligence for climate action
Civic engagement,Guatemala,RBLAC,Citizen science to better share the community's water,Collective intelligence for climate action
Civic engagement,Kenya,RBA,Collaborative mapping of water sources to reduce conflict in Tana River county,Collective intelligence for climate action
Civic engagement,Mozambique,RBA,Visual storytelling on climate adaptation,Collective intelligence for climate action
Civic engagement,North Macedonia,RBEC,Citizens engagement for adaptation to heat islands,Collective intelligence for climate action
Civic engagement,Panama,RBLAC,Community preparedness to floods in Panama city,Collective intelligence for climate action
Civic engagement,Samoa,RBAP,Participatory mapping of alien invasive species,Collective intelligence for climate action
Civic engagement,South Africa,RBA,Collective Intelligence for the Just Energy Transition,Collective intelligence for climate action
Civic engagement,South Sudan,RBA,Community-managed pastures and waterpoints,Collective intelligence for climate action
Civic engagement,Sudan,RBA,Building peace through climate intervention,Collective intelligence for climate action
Civic engagement,Bangladesh,RBAP,Connecting stakeholders for biodiversity in Kuakata,Local stakeholders fora
Civic engagement,Bosnia and Herzegovina,RBEC,Urban Lab,Local stakeholders fora
Civic engagement,Dominican Republic,RBLAC,Community-based local waste management,Local stakeholders fora
Civic engagement,Guinea-Bissau,RBAP,Participatory urban planning,Local stakeholders fora
Civic engagement,Mexico,RBLAC,Portfolio for consultations with indigenous communities,Local stakeholders fora
Civic engagement,Paraguay,RBLAC,Participatory governance development program,Local stakeholders fora
Civic engagement,Philippines,RBAP,Malay Food Systems Multi-Stakeholders Group,Local stakeholders fora
Civic engagement,Bosnia and Herzegovina,RBEC,Open innovation platform,Open innovation
Civic engagement,North Macedonia,RBEC,Biohacking Lab,Open innovation
Civic engagement,Argentina,RBLAC,Grassroots knowledge for resilience and climate action,Participation as action
Civic engagement,Kenya,RBA,Volunteer-driven approach to tackiling misinformation,Participation as action
Civic engagement,Panama,RBLAC,Circular economy and participatory transformation in public markets,Participation as action
Civic engagement,Peru,RBLAC,Grassroots knowledge for resilience and climate action,Participation as action
Civic engagement,Thailand,RBAP,taking direct action on air pollution and forest fires,Participation as action
Civic engagement,Togo,RBA,Shared micro-weather data to improve agricultural yields,Collective intelligence for climate action
Civic engagement,Trinidad and Tobago,RBLAC,Peacebuilding through community-level innovation,Participation as action
Civic engagement,Uruguay,RBLAC,Tactical urbanism,Participation as action
Civic engagement,Bolivia,RBLAC,Integrating indigenous people's climate adaptation needs into municipal planning,Participatory policy making
Civic engagement,Bosnia and Herzegovina,RBEC,Designing energy efficiency policies through collective intelligence,Participatory policy making
Civic engagement,Bosnia and Herzegovina,RBEC,Public Consultation 2.0,Participatory policy making
Civic engagement,Mexico,RBLAC,Trasferring local narratives from women into a feminist foreign policy,Participatory policy making
Civic engagement,North Macedonia,RBEC,Citizen participation to UNDP's programme development,Participatory policy making
Civic engagement,Somalia,RBA,Storytellers for COVID awareness,Participatory policy making
Civic engagement,Uganda,RBA,Citizen engagement for flood resilience in informal settlements,Participatory policy making
Civic engagement,Uzbekistan,RBEC,Awareness and co-design in public service delivery,Participatory policy making
Tourism,Bangladesh,RBAP,Blue tourism,Developing an offer for new market niches
Tourism,Bangladesh,RBAP,Protecting sea turtles hatching locations,Tourism and environmental sustainability
Tourism,Bangladesh,RBAP,"Citizen activism for biodiversity conservation in the Sundarbans
June 23, 2022",Tourism and environmental sustainability
Tourism,Bangladesh,RBAP,Community-based tourism,Community-based tourism
Tourism,Bangladesh,RBAP,Biodiversity Conservation and Local Engagement in Kuakata,Tourism and environmental sustainability
Tourism,Bangladesh,RBAP,Data-driven decision making in the toursima sector,Digital data to understand the tourism experience
Tourism,Barbados,RBLAC,AR/VR for inclusive tourism,Community-based tourism
Tourism,Benin,RBA,Conservation and development of the lakeside areas,Tourism and environmental sustainability
Tourism,Cape Verde,RBA,Blue economy,Developing an offer for new market niches
Tourism,Dominican Republic,RBLAC,Digital nomads,Developing an offer for new market niches
Tourism,Dominican Republic,RBLAC,MSMEs for tourism,Community-based tourism
Tourism,Egypt,RBAS,Agritourism,Tourism and environmental sustainability
Tourism,El Salvador,RBLAC,Benefits of free internet in public spaces,Developing an offer for new market niches
Tourism,Jordan,RBAS,Sentiment analysis of TripAdvisor,Digital data to understand the tourism experience
Tourism,Jordan,RBAS,Developing the tourist offer in Madaba,Developing an offer for new market niches
Tourism,Kyrgyzistan,RBEC,Creative place-making,Developing an offer for new market niches
Tourism,Lesotho,RBA,Photobank,Developing an offer for new market niches
Tourism,Lesotho,RBA,Herd-boys,Tourism and environmental sustainability
Tourism,Malawi,RBA,AI for tourism,Digital data to understand the tourism experience
Tourism,Malaysia,RBAP,Local data observatory,Tourism and environmental sustainability
Tourism,Maldives,RBAP,Only solutions,Developing an offer for new market niches
Tourism,Mauritius,RBAP,Recovery of the tourism sector,Developing an offer for new market niches
Tourism,Palestine,RBAS,Eco-tourism as a source of sustainable growth,Developing an offer for new market niches
Tourism,Philippines,RBAP,Sustainable food,Tourism and environmental sustainability
Tourism,Samoa,RBAP,Single-use plastic in hotels,Tourism and environmental sustainability
Tourism,Tanzania,RBA,Waste banks in Zanzibar,Tourism and environmental sustainability
Tourism,Tanzania,RBA,Social media data for understanding the experience of tourists,Digital data to understand the tourism experience
Tourism,Thaiand,RBAP,Community-based tourism,Community-based tourism
Tourism,Ukraine ,RBEC,Domestic sustainable tourism,Developing an offer for new market niches
Tourism,Zambia,RBA,Community participation to tourism,Community-based tourism
Circular economy,Algeria,RBAS,creating awareness,Responsible consumption
Circular economy,Bangladesh,RBAP,information gaps in the medical waste ecosystem,Data and knowledge
Circular economy,Belarus,RBEC,inclusive circular economy,Waste to livelihood
Circular economy,Benin,RBA,water hyacinth,Waste to livelihood
Circular economy,Bhutan,RBAP,sorting household waste,Responsible consumption
Circular economy,Bosnia and Herzegovina,RBEC,food rescue,Food waste
Circular economy,Bosnia and Herzegovina,RBEC,portfolio,System integration
Circular economy,Burkina Faso,RBA,plastic waste and circularity,Plastic waste
Circular economy,Cambodia,RBAP,Waste bins,Responsible consumption
Circular economy,Cameroon,RBA,recycling as a solution to a lack of access to energy and waste from markets,Waste to livelihood
Circular economy,Chad,RBA,biogas,Waste to livelihood
Circular economy,Chad,RBA,plastic waste and circularity,Plastic waste
Circular economy,Dominican Republic,RBLAC,waste management culture,Responsible consumption
Circular economy,DR Congo,RBA,entrepreneurship for the waste challenge,Waste to livelihood
Circular economy,El Salvador,RBLAC,reducing plastic waste on El Tunco beach,Plastic waste
Circular economy,Ethiopia,RBA,waste to livelihood,Waste to livelihood
Circular economy,Georgia,RBEC,plastic waste recycling,Responsible consumption
Circular economy,Guatemala,RBLAC,community approaches to circularity,Responsible consumption
Circular economy,Haiti,RBLAC,opportunities from waste,Data and knowledge
Circular economy,Lao PDR,RBAP,behavior change around waste,Responsible consumption
Circular economy,Lao PDR,RBAP,community waste champions,Responsible consumption
Circular economy,Lesotho,RBA,plastic waste,Plastic waste
Circular economy,Malawi,RBA,testing solutions,Data and knowledge
Circular economy,Mauritania,RBA,geodata for solid waste management,Data and knowledge
Circular economy,Mexico,RBLAC,collective intelligence for stakeholder engagement on plastic waste,Responsible consumption
Circular economy,Mongolia,RBEC,community based recycling center,Waste to livelihood
Circular economy,Nepal,RBAP,Green jobs through waste upcycling,Waste to livelihood
Circular economy,North Macedonia,RBEC,local waste management portfolio,System integration
Circular economy,Pacific,RBAP,pacific plastic waste challenge,Data and knowledge
Circular economy,Pakistan,RBAP,understanding plastic waste,Data and knowledge
Circular economy,Panama,RBLAC,complexity in SWM,Data and knowledge
Circular economy,Philippines,RBAP,CE portfolio,System integration
Circular economy,Samoa,RBAP,single-use plastic in hotels and catering,Plastic waste
Circular economy,Saudi Arabia,RBAS,food waste,Food waste
Circular economy,Senegal,RBA,citizen initiatives,Responsible consumption
Circular economy,South Africa,RBA,food waste,Food waste
Circular economy,Syria,RBAS,upcycling,Responsible consumption
Circular economy,Tanzania,RBA,Waste Banks,Waste to livelihood
Circular economy,Tanzania,RBA,WasteX,Data and knowledge
Circular economy,Togo,RBA,methane from feces,Waste to livelihood
Circular economy,Togo,RBA,food waste,Food waste
Circular economy,Trinidad and Tobago,RBLAC,plastic waste,Plastic waste
Circular economy,TŸrkiye,RBEC,textile waste,Waste to livelihood
Circular economy,Ukraine,RBEC,open burning,Data and knowledge
Circular economy,Ukraine,RBEC,single-use coffee cups,Responsible consumption
Circular economy,Vietnam,RBAP,Da Nang portfolio,System integration
Circular economy,Zambia,RBA,social cohesion and incentives to separate waste,Responsible consumption
Cities,Angola,RBA,,Public spaces
Cities,Bosnia & Herzegovina,RBEC,,Public spaces
Cities,Ecuador,RBLAC,,Public spaces
Cities,Guinea-Bissau,RBA,,Public spaces
Cities,TŸrkiye,RBAS,,Public spaces
Cities,Lebanon,RBAS,,Public spaces
Cities,Mexico,RBLAC,,Public spaces
Cities,North Macedonia,RBEC,,Public spaces
Cities,TŸrkiye,RBAS,,Public spaces
Cities,Uruguay,RBLAC,,Public spaces
Cities,Bosnia & Herzegovina,RBEC,,Energy
Cities,Cameroon,RBA,,Energy
Cities,Lebanon,RBAS,,Energy
Cities,TŸrkyie,RBAS,,Energy
Cities,Indonesia,RBAP,,Disaster Risk Reduction
Cities,Lebanon,RBAP,,Disaster Risk Reduction
Cities,Kyrgyzistan,RBEC,,Disaster Risk Reduction
Cities,Panama,RBLAC,,Disaster Risk Reduction
Cities,Bolivia,RBLAC,,Urban waste
Cities,Cameroon,RBA,,Urban waste
Cities,Dominican Republic,RBLAC,,Urban waste
Cities,Guatemala,RBLAC,,Urban waste
Cities,Malawi,RBA,,Urban waste
Cities,Panama,RBLAC,,Urban waste
Cities,Paraguay,RBLAC,,Urban waste
Cities,Nepal,RBAP,,Urban waste
Cities,North Macedonia,RBEC,,Urban waste
Cities,Tanzania,RBA,,Urban waste
Cities,Uruguay,RBLAC,,Urban waste
Cities,Bolivia,RBLAC,,Transport and mobility
Cities,Burkina Faso,RBA,,Transport and mobility
Cities,Dominican Republic,RBLAC,,Transport and mobility
Cities,Guatemala,RBLAC,,Transport and mobility
Cities,Kenya,RBA,,Transport and mobility
Cities,Lebanon,RBAS,,Transport and mobility
Cities,Malawi,RBA,,Transport and mobility
Cities,Nepal,RBAP,,Transport and mobility
Cities,North Macedonia,RBEC,,Transport and mobility
Cities,Togo,RBA,,Transport and mobility
Cities,Argentina,RBLAC,,Air pollution
Cities,Kazakhstan,RBEC,,Air pollution
Cities,Lebanon,RBAS,,Air pollution
Cities,North Macedonia,RBEC,,Air pollution
Cities,Ukraine,RBEC,,Air pollution
Cities,Dominican Republic,RBLAC,,Portfolio-like
Cities,Ethiopia,RBA,,Portfolio-like
Cities,Indonesia,RBAP,,Portfolio-like
Cities,Maldives,RBLAC,,Portfolio-like
Cities,Morocco,RBAS,,Portfolio-like
Cities,North Macedonia,RBEC,,Water
Cities,South Africa,RBA,,Water
Cities,North Macedonia,RBEC,,Finance
Food systems,Angola,RBA,,markets
Food systems,Bosnia and Herzegovina,RBEC,,food rescue
Food systems,Cabo Verde,RBA,,data and precision agriculture
Food systems,Cameroon,RBA,,food rescue
Food systems,Egypt,RBAS,,markets
Food systems,El Salvador,RBLAC,,markets
Food systems,El Salvador,RBLAC,,data and precision agriculture
Food systems,Ethiopia,RBA,,supply chain
Food systems,Guatemala,RBLAC,,data and precision agriculture
Food systems,India,RBAP,,data and precision agriculture
Food systems,Jordan,RBAS,,other
Food systems,Kenya,RBA,,conflict prevention
Food systems,Lesotho,RBA,,markets
Food systems,Lesotho,RBA,,supply chain
Food systems,Malaysia,RBAP,,supply chain
Food systems,Malaysia,RBAP,,markets
Food systems,Mauritania,RBA,,supply chain
Food systems,Mauritius,RBA,,self-sufficiency
Food systems,Nigeria,RBA,,conflict prevention
Food systems,Pacific,RBAP,,self-sufficiency
Food systems,Pakistan,RBAP,,markets
Food systems,Peru,RBLAC,,markets
Food systems,Peru,RBLAC,,data and precision agriculture
Food systems,Peru,RBLAC,,supply chain
Food systems,Philippines,RBAP,,self-sufficiency
Food systems,Somalia,RBA,,supply chain
Food systems,South Africa,RBA,,other
Food systems,South Africa,RBA,,data and precision agriculture
Food systems,South Africa,RBA,,markets
Food systems,South Africa,RBA,,supply chain
Food systems,South Africa,RBA,,food rescue
Food systems,South Africa,RBA,,self-sufficiency
Food systems,Syria,RBAS,,supply chain
Food systems,Syria,RBAS,,data and precision agriculture
Food systems,Tanzania,RBA,,markets
Food systems,Thailand,RBAP,,other
Food systems,Togo,RBA,,data and precision agriculture
Food systems,Zimbabwe,RBA,,supply chain
Food systems,Zimbabwe,RBA,,markets